"DispNum3" "IncidNum3" "DispNum4" "IncidNum4" "StDay" "StMon" "StYear" "EndDay" "EndMon" "EndYear" "Duration" "TBI" "Fatality" "FatalPre" "Action" "HostLev" "NumA" "RevType1" "RevType2" "Version"
"1406" 4182 4182393 50201 50201393 23 1 2002 23 1 2002 1 16 0 0 16 4 1 2 0 4.01
"1407" 4182 4182394 50201 50201394 8 2 2002 12 2 2002 5 12 0 0 16 4 1 2 0 4.01
"1408" 4182 4182395 50201 50201395 20 2 2002 20 2 2002 1 20 0 0 16 4 1 2 0 4.01
"1409" 4182 4182396 50201 50201396 12 3 2002 13 3 2002 2 18 0 0 16 4 1 2 0 4.01
"1410" 4182 4182397 50201 50201397 30 3 2002 31 3 2002 2 3 0 0 16 4 1 2 0 4.01
"1411" 4182 4182398 50201 50201398 2 4 2002 16 4 2002 15 23 0 0 16 4 1 2 0 4.01
"1412" 4182 4182399 50201 50201399 25 4 2002 25 4 2002 1 1 0 0 7 3 1 2 0 4.01
"1413" 4182 4182400 50201 50201400 26 4 2002 2 5 2002 7 12 0 0 16 4 1 2 0 4.01
"1414" 4182 4182401 50201 50201401 8 5 2002 8 5 2002 1 30 0 0 7 3 1 2 0 4.01
"1415" 4182 4182402 50201 50201402 7 6 2002 9 6 2002 3 7 0 0 16 4 1 2 0 4.01
"1416" 4182 4182403 50201 50201403 14 6 2002 14 6 2002 1 14 0 0 16 4 1 2 0 4.01
"1417" 4182 4182404 50201 50201404 28 6 2002 28 6 2002 1 13 0 0 16 4 1 2 0 4.01
"1418" 4182 4182405 50201 50201405 11 7 2002 11 7 2002 1 14 0 0 12 3 1 2 0 4.01
"1419" 4182 4182406 50201 50201406 25 7 2002 25 7 2002 1 35 0 0 16 4 1 2 0 4.01
"1420" 4182 4182407 50201 50201407 29 8 2002 29 8 2002 1 0 0 0 16 4 1 2 0 4.01
"1421" 4182 4182408 50201 50201408 29 8 2002 29 8 2002 1 44 0 0 7 3 1 2 0 4.01
"1422" 4182 4182409 50201 50201409 12 10 2002 12 10 2002 1 58 0 0 16 4 1 2 0 4.01
"1423" 4182 4182410 50201 50201410 9 12 2002 9 12 2002 1 43 0 0 11 3 1 2 0 4.01
"1424" 4182 4182411 50201 50201411 21 1 2003 21 1 2003 1 0 0 0 7 3 1 2 0 4.01
"1425" 4182 4182412 50201 50201412 21 1 2003 21 1 2003 1 2 0 0 16 4 1 2 0 4.01
"1426" 4182 4182413 50201 50201413 23 1 2003 23 1 2003 1 10 0 0 11 3 1 2 0 4.01
"1427" 4182 4182414 50201 50201414 2 2 2003 2 2 2003 1 17 0 0 7 3 1 2 0 4.01
"1428" 4182 4182415 50201 50201415 19 2 2003 19 2 2003 1 41 0 0 11 3 1 2 0 4.01
"1429" 4182 4182416 50201 50201416 1 4 2003 11 4 2003 11 27 0 0 7 3 1 2 0 4.01
"1430" 4182 4182417 50201 50201417 28 4 2003 28 4 2003 1 3 0 0 7 3 1 2 0 4.01
"1431" 4182 4182418 50201 50201418 1 5 2003 5 5 2003 5 13 0 0 7 3 1 2 0 4.01
"1432" 4182 4182419 50201 50201419 14 5 2003 22 5 2003 9 21 0 0 7 3 1 2 0 4.01
"1433" 4182 4182420 50201 50201420 4 6 2003 24 6 2003 21 40 0 0 7 3 1 2 0 4.01
"1434" 4182 4182421 50201 50201421 14 7 2003 14 7 2003 1 3 0 0 11 3 1 2 0 4.01
"1435" 4182 4182422 50201 50201422 17 7 2003 21 7 2003 5 17 0 0 7 3 1 2 0 4.01
"1436" 4182 4182423 50201 50201423 3 8 2003 3 8 2003 1 5 0 0 7 3 1 2 0 4.01
"1437" 4182 4182424 50201 50201424 8 8 2003 13 8 2003 6 6 0 0 16 4 1 2 0 4.01
"1438" 4182 4182425 50201 50201425 14 8 2003 14 8 2003 1 17 0 0 11 3 1 2 0 4.01
"1439" 4182 4182426 50201 50201426 31 8 2003 31 8 2003 1 3 0 0 7 3 1 2 0 4.01
"1440" 4182 4182427 50201 50201427 3 9 2003 3 9 2003 1 33 0 0 16 4 1 2 0 4.01
"1441" 4182 4182428 50201 50201428 6 10 2003 13 10 2003 8 16 0 0 16 4 1 2 0 4.01
"1442" 4182 4182429 50201 50201429 22 10 2003 22 10 2003 1 5 0 0 7 3 1 2 0 4.01
"1443" 4182 4182430 50201 50201430 27 10 2003 27 10 2003 1 7 0 0 16 4 1 2 0 4.01
"1444" 4182 4182431 50201 50201431 3 11 2003 3 11 2003 1 13 0 0 7 3 1 2 0 4.01
"1445" 4182 4182432 50201 50201432 16 11 2003 18 11 2003 3 23 0 0 7 3 1 2 0 4.01
"1446" 4182 4182433 50201 50201433 9 12 2003 9 12 2003 1 1 0 0 7 3 1 2 0 4.01
"1447" 4182 4182434 50201 50201434 10 12 2003 10 12 2003 1 40 0 0 16 4 1 2 0 4.01
"1448" 4182 4182435 50201 50201435 19 1 2004 19 1 2004 1 1 0 0 7 3 1 2 0 4.01
"1449" 4182 4182436 50201 50201436 20 1 2004 20 1 2004 1 19 0 0 16 4 1 2 0 4.01
"1450" 4182 4182437 50201 50201437 8 2 2004 8 2 2004 1 16 0 0 7 3 1 2 0 4.01
"1451" 4182 4182438 50201 50201438 24 2 2004 24 2 2004 1 27 0 0 16 4 1 2 0 4.01
"1452" 4182 4182439 50201 50201439 22 3 2004 22 3 2004 1 44 0 0 16 4 1 2 0 4.01
"1453" 4182 4182440 50201 50201440 5 5 2004 7 5 2004 3 33 0 0 16 4 1 2 0 4.01
"1454" 4182 4182441 50201 50201441 7 6 2004 7 6 2004 1 13 0 0 16 4 1 2 0 4.01
"1455" 4182 4182442 50201 50201442 20 6 2004 20 6 2004 1 9 0 0 16 4 1 2 0 4.01
"1456" 4182 4182443 50201 50201443 29 6 2004 6 7 2004 8 18 0 0 7 3 1 2 0 4.01
"1457" 4182 4182444 50201 50201444 17 7 2004 17 7 2004 1 0 0 0 7 3 1 2 0 4.01
"1458" 4182 4182445 50201 50201445 17 7 2004 17 7 2004 1 0 0 0 7 3 1 2 0 4.01
"1459" 4182 4182446 50201 50201446 17 7 2004 17 7 2004 1 23 0 0 11 3 1 2 0 4.01
"1460" 4182 4182447 50201 50201447 9 8 2004 10 8 2004 2 22 0 0 7 3 1 2 0 4.01
"1461" 4182 4182448 50201 50201448 31 8 2004 31 8 2004 1 21 0 0 7 3 1 2 0 4.01
"1462" 4182 4182449 50201 50201449 21 9 2004 21 9 2004 1 20 0 0 7 3 1 2 0 4.01
"1463" 4182 4182450 50201 50201450 11 10 2004 11 10 2004 1 24 0 0 7 3 1 2 0 4.01
"1464" 4182 4182451 50201 50201451 4 11 2004 8 11 2004 5 27 0 0 7 3 1 2 0 4.01
"1465" 4182 4182452 50201 50201452 1 12 2004 1 12 2004 1 5 0 0 7 3 1 2 0 4.01
"1466" 4182 4182453 50201 50201453 6 12 2004 6 12 2004 1 23 0 0 11 3 1 2 0 4.01
"1467" 4182 4182454 50201 50201454 29 12 2004 30 12 2004 2 9 0 0 7 3 1 2 0 4.01
"1468" 4182 4182455 50201 50201455 7 1 2005 7 1 2005 1 10 0 0 16 4 1 2 0 4.01
"1469" 4182 4182456 50201 50201456 17 1 2005 17 1 2005 1 9 0 0 16 4 1 2 0 4.01
"1470" 4182 4182457 50201 50201457 26 1 2005 26 1 2005 1 4 0 0 7 3 1 2 0 4.01
"1471" 4182 4182458 50201 50201458 30 1 2005 30 1 2005 1 14 0 0 16 4 1 2 0 4.01
"1472" 4182 4182459 50201 50201459 13 2 2005 13 2 2005 1 9 0 0 7 3 1 2 0 4.01
"1473" 4182 4182460 50201 50201460 22 2 2005 24 2 2005 3 21 0 0 7 3 1 2 0 4.01
"1474" 4182 4182461 50201 50201461 15 3 2005 15 3 2005 1 2 0 0 7 3 1 2 0 4.01
"1475" 4182 4182462 50201 50201462 17 3 2005 17 3 2005 1 57 0 0 16 4 1 2 0 4.01
"1476" 4182 4182463 50201 50201463 13 5 2005 13 5 2005 1 8 0 0 16 4 1 2 0 4.01
"1477" 4182 4182464 50201 50201464 21 5 2005 21 5 2005 1 17 0 0 16 4 1 2 0 4.01
"1478" 4182 4182465 50201 50201465 7 6 2005 7 6 2005 1 22 0 0 7 3 1 2 0 4.01
"1479" 4182 4182466 50201 50201466 29 6 2005 1 7 2005 3 2 0 0 16 4 1 2 0 4.01
"1480" 4182 4182467 50201 50201467 1 7 2005 1 7 2005 1 2 0 0 8 3 1 2 0 4.01
"1481" 4182 4182468 50201 50201468 3 7 2005 6 7 2005 4 75 0 0 7 3 1 2 0 4.01
"1482" 4182 4182469 50201 50201469 16 9 2005 17 9 2005 2 5 0 0 15 4 1 2 0 4.01
"1483" 4182 4182470 50201 50201470 21 9 2005 21 9 2005 1 15 0 0 7 3 1 2 0 4.01
"1484" 4182 4182471 50201 50201471 6 10 2005 6 10 2005 1 15 0 0 8 3 1 2 0 4.01
"1485" 4182 4182472 50201 50201472 21 10 2005 21 10 2005 1 2 0 0 16 4 1 2 0 4.01
"1486" 4182 4182473 50201 50201473 23 10 2005 24 10 2005 2 6 0 0 7 3 1 2 0 4.01
"1487" 4182 4182474 50201 50201474 29 10 2005 3 11 2005 6 6 0 0 16 4 1 2 0 4.01
"1488" 4182 4182475 50201 50201475 4 11 2005 4 11 2005 1 4 0 0 8 3 1 2 0 4.01
"1489" 4182 4182476 50201 50201476 8 11 2005 8 11 2005 1 13 0 0 7 3 1 2 0 4.01
"1490" 4182 4182477 50201 50201477 21 11 2005 23 11 2005 3 74 0 0 16 4 1 2 0 4.01
"1491" 4182 4182478 50201 50201478 3 2 2006 6 2 2006 4 3 0 0 16 4 1 2 0 4.01
"1492" 4182 4182479 50201 50201479 6 2 2006 6 2 2006 1 79 0 0 7 3 1 2 0 4.01
"1493" 4182 4182480 50201 50201480 26 4 2006 26 4 2006 1 5 0 0 7 3 1 2 0 4.01
"1494" 4182 4182481 50201 50201481 1 5 2006 1 5 2006 1 27 0 0 7 3 1 2 0 4.01
"1495" 4182 4182482 50201 50201482 28 5 2006 29 5 2006 2 45 0 0 16 4 1 2 0 4.01
"1496" 4182 4182483 50201 50201483 12 7 2006 14 8 2006 34 0 2 -9 17 4 1 2 0 4.01
"1497" 4182 4182484 50201 50201484 12 7 2006 8 9 2006 59 5 0 0 13 4 1 2 0 4.01
"1498" 4182 4182485 50201 50201485 17 7 2006 17 7 2006 1 -9 0 0 10 3 1 2 0 4.01
"1646" 4242 4242002 20202 20202002 1 4 2002 3 4 2002 3 11 0 0 8 3 1 2 0 4.01
"1647" 4242 4242003 20202 20202003 12 4 2002 14 4 2002 3 0 0 0 14 4 1 2 0 4.01
"1648" 4242 4242004 20202 20202004 12 4 2002 14 4 2002 3 25 0 0 8 3 1 2 0 4.01
"1649" 4242 4242005 20202 20202005 7 5 2002 7 5 2002 1 4 0 0 11 3 1 2 0 4.01
"1650" 4242 4242006 20202 20202006 11 5 2002 11 5 2002 1 12 0 0 7 3 1 2 0 4.01
"1651" 4242 4242007 20202 20202007 23 5 2002 23 5 2002 1 67 0 0 11 3 1 2 0 4.01
"1652" 4242 4242008 20202 20202008 29 7 2002 6 8 2002 9 2 0 0 16 4 1 2 0 4.01
"1653" 4242 4242009 20202 20202009 31 7 2002 31 7 2002 1 5 0 0 11 3 1 2 0 4.01
"1654" 4242 4242010 20202 20202010 5 8 2002 5 8 2002 1 1 0 0 11 3 1 2 0 4.01
"1655" 4242 4242011 20202 20202011 6 8 2002 6 8 2002 1 8 0 0 11 3 1 2 0 4.01
"1656" 4242 4242012 20202 20202012 14 8 2002 14 8 2002 1 9 0 0 7 3 1 2 0 4.01
"1657" 4242 4242013 20202 20202013 23 8 2002 23 8 2002 1 10 0 0 16 4 1 2 0 4.01
"1658" 4242 4242014 20202 20202014 2 9 2002 2 9 2002 1 1 0 0 7 3 1 2 0 4.01
"1659" 4242 4242015 20202 20202015 3 9 2002 3 9 2002 1 9 0 0 11 3 1 2 0 4.01
"1660" 4242 4242016 20202 20202016 12 9 2002 12 9 2002 1 4 0 0 1 2 1 2 0 4.01
"1661" 4242 4242017 20202 20202017 16 9 2002 16 9 2002 1 11 0 0 11 3 1 2 0 4.01
"1662" 4242 4242018 20202 20202018 27 9 2002 27 9 2002 1 1 0 0 7 3 1 2 0 4.01
"1663" 4242 4242019 20202 20202019 28 9 2002 29 9 2002 2 9 0 0 11 3 1 2 0 4.01
"1664" 4242 4242020 20202 20202020 7 10 2002 7 10 2002 1 2 0 0 11 3 1 2 0 4.01
"1665" 4242 4242021 20202 20202021 9 10 2002 9 10 2002 1 10 0 0 11 3 1 2 0 4.01
"1666" 4242 4242022 20202 20202022 19 10 2002 19 10 2002 1 131 0 0 11 3 1 2 0 4.01
"1667" 4242 4242023 20202 20202023 27 2 2003 27 2 2003 1 119 0 0 7 3 1 2 0 4.01
"1668" 4242 4242024 20202 20202024 26 6 2003 26 6 2003 1 63 0 0 7 3 1 2 0 4.01
"1669" 4242 4242025 20202 20202025 28 8 2003 28 8 2003 1 30 0 0 7 3 1 2 0 4.01
"1670" 4242 4242026 20202 20202026 27 9 2003 27 9 2003 1 181 0 0 7 3 1 2 0 4.01
"1671" 4242 4242027 20202 20202027 26 3 2004 26 3 2004 1 171 0 0 7 3 1 2 0 4.01
"1672" 4242 4242028 20202 20202028 13 9 2004 14 9 2004 2 6 0 0 7 3 1 2 0 4.01
"1673" 4242 4242029 20202 20202029 19 9 2004 19 9 2004 1 54 0 0 7 3 1 2 0 4.01
"1674" 4242 4242030 20202 20202030 12 11 2004 15 11 2005 369 -9 0 0 7 3 1 2 0 4.01
"1953" 4273 4273165 50202 50202165 14 1 2002 19 3 2003 430 7 -9 -9 17 4 2 2 0 4.01
"1954" 4273 4273166 50202 50202166 21 1 2002 17 3 2003 421 235 -9 -9 17 4 2 2 0 4.01
"1955" 4273 4273167 50202 50202167 13 9 2002 13 9 2002 1 13 0 0 1 2 1 0 0 4.01
"1956" 4273 4273168 50202 50202168 26 9 2002 26 9 2002 1 62 0 0 11 3 1 2 0 4.01
"1957" 4273 4273169 50202 50202169 27 11 2002 18 3 2003 112 87 0 0 7 3 10 2 3 4.01
"1958" 4273 4273170 50202 50202170 22 2 2003 22 2 2003 1 25 0 0 8 3 1 0 0 4.01
"1959" 4273 4273171 50202 50202171 19 3 2003 2 5 2003 45 -9 6 -9 20 5 4 2 3 4.01
"1972" 4277 4277011 70201 70201011 18 1 2002 18 1 2002 1 0 0 0 7 3 1 0 0 4.01
"1973" 4277 4277012 70201 70201012 18 1 2002 18 1 2002 1 2 0 0 16 4 1 0 0 4.01
"1974" 4277 4277013 70201 70201013 20 1 2002 28 1 2002 9 12 -9 -9 17 4 1 1 2 4.01
"1975" 4277 4277014 70201 70201014 1 2 2002 2 2 2002 2 7 -9 -9 17 4 1 1 2 4.01
"1976" 4277 4277015 70201 70201015 8 2 2002 15 2 2002 8 13 -9 -9 17 4 1 1 2 4.01
"1977" 4277 4277016 70201 70201016 21 2 2002 28 2 2002 8 12 -9 -9 17 4 1 1 2 4.01
"1978" 4277 4277017 70201 70201017 5 3 2002 3 4 2002 30 34 -9 -9 17 4 1 1 2 4.01
"1979" 4277 4277018 70201 70201018 8 4 2002 9 4 2002 2 5 -9 -9 17 4 1 1 2 4.01
"1980" 4277 4277019 70201 70201019 13 4 2002 14 4 2002 2 5 -9 -9 17 4 1 1 2 4.01
"1981" 4277 4277020 70201 70201020 18 4 2002 7 5 2002 20 -9 1 -9 17 4 1 1 2 4.01
"1982" 4277 4277021 70201 70201021 -9 5 2002 -9 5 2002 -9 -9 0 0 11 3 1 1 2 4.01
"1983" 4277 4277022 70201 70201022 13 5 2002 12 7 2002 61 5 -9 -9 17 4 1 1 2 4.01
"1984" 4277 4277023 70201 70201023 18 5 2002 18 5 2002 1 1 0 0 8 3 1 0 0 4.01
"1985" 4277 4277024 70201 70201024 19 5 2002 19 5 2002 1 3 0 0 10 3 1 0 0 4.01
"1986" 4277 4277025 70201 70201025 22 5 2002 22 5 2002 1 8 0 0 7 3 1 1 2 4.01
"1987" 4277 4277026 70201 70201026 30 5 2002 30 5 2002 1 5 0 0 11 3 1 0 0 4.01
"1988" 4277 4277027 70201 70201027 4 6 2002 4 6 2002 1 3 0 0 11 3 1 0 0 4.01
"1989" 4277 4277028 70201 70201028 7 6 2002 7 6 2002 1 0 0 0 8 3 1 0 0 4.01
"1990" 4277 4277029 70201 70201029 7 6 2002 7 6 2002 1 0 0 0 7 3 1 1 2 4.01
"1991" 4277 4277030 70201 70201030 7 6 2002 7 6 2002 1 0 0 0 16 4 1 1 2 4.01
"1992" 4277 4277031 70201 70201031 7 6 2002 7 6 2002 1 12 0 0 8 3 1 1 2 4.01
"1993" 4277 4277032 70201 70201032 19 6 2002 19 6 2002 1 0 0 0 12 3 1 1 2 4.01
"1994" 4277 4277033 70201 70201033 19 6 2002 19 6 2002 1 26 1 1 16 4 1 1 2 4.01
"1995" 4277 4277034 70201 70201034 15 7 2002 15 7 2002 1 1 0 0 8 3 1 1 2 4.01
"1996" 4277 4277035 70201 70201035 16 7 2002 22 7 2002 7 11 1 -9 17 4 1 1 2 4.01
"1997" 4277 4277036 70201 70201036 27 7 2002 5 8 2002 10 13 -9 -9 17 4 1 1 2 4.01
"1998" 4277 4277037 70201 70201037 9 8 2002 9 8 2002 1 7 -9 -9 16 4 1 1 2 4.01
"1999" 4277 4277038 70201 70201038 16 8 2002 3 9 2002 19 22 -9 -9 17 4 1 1 2 4.01
"2000" 4277 4277039 70201 70201039 7 9 2002 8 9 2002 2 7 1 -9 17 4 1 1 2 4.01
"2001" 4277 4277040 70201 70201040 14 9 2002 16 9 2002 3 6 -9 -9 17 4 1 1 2 4.01
"2002" 4277 4277041 70201 70201041 20 9 2002 20 9 2002 1 7 -9 -9 17 4 1 1 2 4.01
"2003" 4277 4277042 70201 70201042 27 9 2002 25 10 2002 29 35 -9 -9 17 4 1 0 2 4.01
"2004" 4277 4277043 70201 70201043 1 11 2002 6 11 2002 6 10 -9 -9 17 4 1 1 2 4.01
"2005" 4277 4277044 70201 70201044 11 11 2002 17 11 2002 7 10 1 -9 17 4 1 1 2 4.01
"2006" 4277 4277045 70201 70201045 21 11 2002 26 11 2002 6 11 1 -9 17 4 1 1 2 4.01
"2007" 4277 4277046 70201 70201046 2 12 2002 7 12 2002 6 5 1 -9 17 4 1 0 2 4.01
"2008" 4277 4277047 70201 70201047 7 12 2002 7 12 2002 1 5 0 0 7 3 1 0 2 4.01
"2009" 4277 4277048 70201 70201048 12 12 2002 13 12 2002 2 5 -9 -9 17 4 1 1 2 4.01
"2010" 4277 4277049 70201 70201049 17 12 2002 19 12 2002 3 6 -9 -9 17 4 1 1 2 4.01
"2011" 4277 4277050 70201 70201050 23 12 2002 24 12 2002 2 4 -9 -9 17 4 1 1 2 4.01
"2012" 4277 4277051 70201 70201051 27 12 2002 27 12 2002 1 0 0 0 7 3 1 1 2 4.01
